site,station,segment,spatial_location_index,x_mm,y_mm,velocity_mm_s,point_count,deviation_mm
wujiaochang,Wujiaochang,2,104,99125.82965,-564961.2641,1922.425859,18,113.6551147
wujiaochang,Wujiaochang,2,105,98964.88205,-564906.8554,1918.267227,16,41.11497193
wujiaochang,Wujiaochang,2,106,97823.90107,-564861.4352,1430.835229,56,1171.973675
wujiaochang,Wujiaochang,2,107,98785.78747,-564800.3114,1921.750079,20,208.7665415
wujiaochang,Wujiaochang,2,108,98696.14385,-564749.6111,1914.559237,28,292.9430618
wujiaochang,Wujiaochang,2,109,99270.61156,-564696.6969,1927.752563666667,13,283.9410621
wujiaochang,Wujiaochang,2,110,99553.01724,-564651.1891,1940.9458903333327,15,569.466593
wujiaochang,Wujiaochang,2,111,99273.79755,-564599.6398,1954.139217,16,296.730075
wujiaochang,Wujiaochang,2,112,99653.93662,-564544.9555,1944.954713,24,680.4172739
wujiaochang,Wujiaochang,2,113,99322.54445,-564491.175,1935.770209,16,355.9859088
wujiaochang,Wujiaochang,2,114,99481.21877,-564438.4226,1926.585705,14,519.1067341
wujiaochang,Wujiaochang,2,115,99058.18145,-564379.3466,1917.401201,14,104.0110304
wujiaochang,Wujiaochang,2,116,98586.65848,-564324.1171,1711.705323,27,359.7229679
wujiaochang,Wujiaochang,2,117,98329.70216,-564284.3026,1698.678547,26,611.4681532
wujiaochang,Wujiaochang,2,118,99123.63281,-564233.5444,1986.283394,16,183.5849938
wujiaochang,Wujiaochang,2,119,98921.13226,-564188.4016,1830.278365,12,13.45751668
wujiaochang,Wujiaochang,2,120,99296.72258,-564134.4821,1819.251348,23,365.6407583
wujiaochang,Wujiaochang,2,121,98804.45782,-564067.8203,1636.288371,9,117.5959607
wujiaochang,Wujiaochang,2,122,98866.56625,-564025.09,1556.748787,18,51.56072115
wujiaochang,Wujiaochang,2,123,98996.90305,-563952.8166,1510.01056,21,85.30063101
wujiaochang,Wujiaochang,2,124,97207.06125,-563892.2293,1249.498641,56,1689.728179
wujiaochang,Wujiaochang,2,125,99306.44632,-563843.0702,1571.175005,27,404.1944014
wujiaochang,Wujiaochang,2,126,99137.43024,-563798.3229,1621.633458,26,240.4459688
wujiaochang,Wujiaochang,2,127,99184.83503,-563745.1516,1554.495533,20,292.8860656
wujiaochang,Wujiaochang,2,128,99029.39682,-563688.2629,1425.4353,23,143.851216
wujiaochang,Wujiaochang,2,129,99167.30596,-563633.36,1582.966549,20,286.5217392
wujiaochang,Wujiaochang,2,130,98489.04084,-563580.821,1304.704635,31,383.1982376
wujiaochang,Wujiaochang,2,131,98723.25474,-563525.4443,1241.928579,19,144.6495292
wujiaochang,Wujiaochang,2,132,98932.44509,-563475.0452,1242.84768,37,68.51021427
wujiaochang,Wujiaochang,2,133,98397.90017,-563427.7407,1295.27924,63,458.7204722
wujiaochang,Wujiaochang,2,134,98410.41815,-563374.2395,1333.591095,31,440.9621471
wujiaochang,Wujiaochang,2,135,98500.63628,-563325.9676,1368.269303,16,346.4038633
wujiaochang,Wujiaochang,2,136,98668.80197,-563271.2701,1259.10784,30,173.6452806
wujiaochang,Wujiaochang,2,137,99168.71851,-563225.6779,1262.982315,59,328.3286204
wujiaochang,Wujiaochang,2,138,99103.6212,-563171.9986,1296.178564,27,268.8714922
wujiaochang,Wujiaochang,2,139,99013.07875,-563122.0579,1305.613301,18,183.724365
wujiaochang,Wujiaochang,2,140,98941.75867,-563067.5044,1305.342742,17,118.161307
wujiaochang,Wujiaochang,2,141,98795.63591,-563018.282,1361.406756,60,22.37704065
wujiaochang,Wujiaochang,2,142,98831.8299,-562960.9665,1354.807135,19,19.34371028
wujiaochang,Wujiaochang,2,143,100217.7942,-562885.952,1700.400071,68,1405.907239
wujiaochang,Wujiaochang,2,144,98651.50024,-562869.4964,1409.492849,27,151.0463655
wujiaochang,Wujiaochang,2,145,99093.51782,-562803.6844,1295.414955,24,295.3189426
wujiaochang,Wujiaochang,2,146,98769.45767,-562762.961,1249.036262,53,23.11154326
wujiaochang,Wujiaochang,2,147,98977.78291,-562708.4922,1307.417112,16,189.5872593
wujiaochang,Wujiaochang,2,148,99418.08394,-562657.4807,1427.806979,19,632.7755396
wujiaochang,Wujiaochang,2,149,98821.5536,-562603.8849,1344.575382,16,44.50392978
wujiaochang,Wujiaochang,2,150,99361.73434,-562551.1811,1403.825611,23,587.237452
