site,scope,segment,feature_type,target,feature,mean_abs_shap,rank
nanjingdonglu,segment7,7.0,individual,velocity,ceiling.middle,15.64840110862132,3
nanjingdonglu,segment7,7.0,individual,velocity,wall.far,8.754411445479885,4
nanjingdonglu,segment7,7.0,individual,velocity,wall.near,7.459119129266675,5
nanjingdonglu,segment7,7.0,individual,velocity,ceiling.far,6.2834622962170315,6
nanjingdonglu,segment7,7.0,individual,velocity,floor.middle,6.2551475404566546,7
nanjingdonglu,segment7,7.0,individual,velocity,signboard.middle,4.737766125355928,8
nanjingdonglu,segment7,7.0,individual,velocity,signboard.near,4.154043672451642,9
nanjingdonglu,segment7,7.0,individual,velocity,door.far,3.504684729761272,10
nanjingdonglu,segment7,7.0,individual,velocity,floor.far,3.0720090095129056,11
nanjingdonglu,segment7,7.0,individual,velocity,wall.middle,2.727511080581625,12
nanjingdonglu,segment7,7.0,individual,deviation,ceiling.middle,58.10120318188715,1
nanjingdonglu,segment7,7.0,individual,deviation,wall.far,41.80168421323858,2
nanjingdonglu,segment7,7.0,individual,deviation,floor.near,24.921295799111146,3
nanjingdonglu,segment7,7.0,individual,deviation,person.middle,15.595013029929104,4
nanjingdonglu,segment7,7.0,individual,deviation,signboard.near,12.392571844202655,5
nanjingdonglu,segment7,7.0,individual,deviation,signboard.far,12.270888811255999,6
nanjingdonglu,segment7,7.0,individual,deviation,windowpane.middle,11.76758050019696,7
nanjingdonglu,segment7,7.0,individual,deviation,ceiling.far,11.136341851527902,8
nanjingdonglu,segment7,7.0,individual,deviation,wall.near,9.256387317413235,9
nanjingdonglu,segment7,7.0,individual,deviation,floor.far,7.6938772596624965,10
nanjingdonglu,segment7,7.0,individual,deviation,monitor.middle,5.820791599502952,11
nanjingdonglu,segment7,7.0,individual,deviation,door.far,2.684337226826254,12
nanjingdonglu,segment7,7.0,comprehensive,velocity,visibility_far_ratio,24.826885715024257,1
nanjingdonglu,segment7,7.0,comprehensive,velocity,clutter_far_degree,24.657535941556425,2
nanjingdonglu,segment7,7.0,comprehensive,velocity,visibility_middle_ratio,13.326917529034123,3
nanjingdonglu,segment7,7.0,comprehensive,velocity,clutter_middle_degree,10.832823172737374,4
nanjingdonglu,segment7,7.0,comprehensive,velocity,visibility_near_ratio,10.685940719750613,5
nanjingdonglu,segment7,7.0,comprehensive,velocity,clutter_near_degree,7.6805862005532575,6
nanjingdonglu,segment7,7.0,comprehensive,velocity,obstacle_middle_density,5.170872765706217,7
nanjingdonglu,segment7,7.0,comprehensive,velocity,obstacle_near_density,3.523772455313775,8
nanjingdonglu,segment7,7.0,comprehensive,velocity,middle_ratio,1.834878174299481,9
nanjingdonglu,segment7,7.0,comprehensive,velocity,far_ratio,1.438994436333641,10
nanjingdonglu,segment7,7.0,comprehensive,velocity,near_ratio,1.0953553896175139,11
nanjingdonglu,segment7,7.0,comprehensive,velocity,obstacle_far_density,0.3042598711787242,12
