site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,segment6,individual,deviation,4,ceiling.middle
nanjingdonglu,segment6,individual,deviation,5,ceiling.far
nanjingdonglu,segment6,individual,deviation,6,fence.near
nanjingdonglu,segment6,individual,deviation,7,person.far
nanjingdonglu,segment6,individual,deviation,8,fence.far
nanjingdonglu,segment6,individual,deviation,9,ceiling.near
nanjingdonglu,segment6,individual,deviation,10,wall.middle
nanjingdonglu,segment6,individual,deviation,11,floor.far
nanjingdonglu,segment6,individual,deviation,12,floor.near
nanjingdonglu,segment6,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment6,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment6,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment6,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment6,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment6,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,segment6,comprehensive,velocity,7,visibility_near_ratio
nanjingdonglu,segment6,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,segment6,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,segment6,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,segment6,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,segment6,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,segment6,comprehensive,deviation,1,near_ratio
nanjingdonglu,segment6,comprehensive,deviation,2,middle_ratio
nanjingdonglu,segment6,comprehensive,deviation,3,far_ratio
nanjingdonglu,segment6,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,segment6,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,segment6,comprehensive,deviation,6,obstacle_far_density
nanjingdonglu,segment6,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,segment6,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment6,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment6,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment6,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment6,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,segment7,individual,velocity,1,wall.far
nanjingdonglu,segment7,individual,velocity,2,windowpane.near
nanjingdonglu,segment7,individual,velocity,3,ceiling.far
nanjingdonglu,segment7,individual,velocity,4,wall.middle
nanjingdonglu,segment7,individual,velocity,5,signboard.near
nanjingdonglu,segment7,individual,velocity,6,windowpane.middle
nanjingdonglu,segment7,individual,velocity,7,ceiling.middle
nanjingdonglu,segment7,individual,velocity,8,floor.far
nanjingdonglu,segment7,individual,velocity,9,signboard.middle
