site,station,scope,segment,feature_type,target,n_total,n_oof,cv_method,cv_r2,cv_mae,cv_rmse,fold_r2_mean,fold_r2_sd,training_r2
wujiaochang,Wujiaochang,segment4,4,individual,velocity,150,150,random_5fold_seed42,0.6050841895164252,42.80984546346004,55.26283792801313,0.6041075596819266,0.09824277108205721,0.8484224253234147
wujiaochang,Wujiaochang,segment4,4,individual,deviation,150,150,random_5fold_seed42,0.34563705520472776,80.58802795644925,101.00743643265663,0.3246791615153924,0.07991394711272137,0.6514145683474628
wujiaochang,Wujiaochang,segment4,4,comprehensive,velocity,150,150,random_5fold_seed42,0.4849326695193299,48.04645285672844,63.11214273902313,0.47807184218709065,0.09141450166260816,0.7641853232922075
wujiaochang,Wujiaochang,segment4,4,comprehensive,deviation,150,150,random_5fold_seed42,0.32159704551403145,82.9470818015769,102.84610888373604,0.2929133654958968,0.10924452650569387,0.6244122903087959
wujiaochang,Wujiaochang,segment5,5,individual,velocity,150,150,random_5fold_seed42,0.7546149695314146,38.806314929731954,68.23613388677305,0.7621537801307566,0.1306399723387242,0.8846238493374751
wujiaochang,Wujiaochang,segment5,5,individual,deviation,150,150,random_5fold_seed42,0.48436192018993096,84.31816516002216,120.64644988016504,0.48145817342463193,0.02544826322834837,0.7281301010398599
wujiaochang,Wujiaochang,segment5,5,comprehensive,velocity,150,150,random_5fold_seed42,0.6006230624106585,63.787931357403636,87.05262495504502,0.5959903118041298,0.0922818429480471,0.8124915172795323
wujiaochang,Wujiaochang,segment5,5,comprehensive,deviation,150,150,random_5fold_seed42,0.271054323651282,97.13964751647485,143.44639486335421,0.25658452266261217,0.11231410398044504,0.5692132772302775
wujiaochang,Wujiaochang,total,total,individual,velocity,750,750,random_5fold_seed42,0.7852747225689799,56.16930612105401,87.8979532919867,0.7850135433372052,0.03672348142050829,0.919949696688228
wujiaochang,Wujiaochang,total,total,individual,deviation,750,750,random_5fold_seed42,0.4869596463318494,71.97651459588593,102.80023357419854,0.48503215197624944,0.06922182751139437,0.7455798609961297
wujiaochang,Wujiaochang,total,total,comprehensive,velocity,750,750,random_5fold_seed42,0.6488593421568953,77.40881696878947,112.40295677812469,0.648138626374592,0.031107115694152955,0.8219205897039367
wujiaochang,Wujiaochang,total,total,comprehensive,deviation,750,750,random_5fold_seed42,0.34610535490298966,83.75831732556206,116.05723745178945,0.3452141858996223,0.06238531178476002,0.6200618822583832
